replay_version 2.1
stopped_at 711
seed 100
recorded_at 2026-06-02 20:50:42 -0500
[:mouse_button_up, 1, 0, 1, 1, 2]
[:mouse_move, 882, 126, 2, 2, 18]
[:mouse_move, 882, 127, 2, 3, 18]
[:mouse_move, 882, 127, 2, 4, 18]
[:mouse_move, 882, 127, 2, 5, 18]
[:mouse_move, 881, 128, 2, 6, 19]
[:mouse_move, 880, 129, 2, 7, 19]
[:mouse_move, 878, 131, 2, 8, 19]
[:mouse_move, 877, 132, 2, 9, 19]
[:mouse_move, 875, 135, 2, 10, 20]
[:mouse_move, 874, 138, 2, 11, 20]
[:mouse_move, 872, 140, 2, 12, 20]
[:mouse_move, 870, 143, 2, 13, 20]
[:mouse_move, 868, 147, 2, 14, 21]
[:mouse_move, 867, 151, 2, 15, 21]
[:mouse_move, 865, 155, 2, 16, 21]
[:mouse_move, 863, 160, 2, 17, 21]
[:mouse_move, 861, 166, 2, 18, 22]
[:mouse_move, 859, 172, 2, 19, 22]
[:mouse_move, 857, 177, 2, 20, 22]
[:mouse_move, 855, 182, 2, 21, 22]
[:mouse_move, 853, 186, 2, 22, 23]
[:mouse_move, 851, 190, 2, 23, 23]
[:mouse_move, 850, 194, 2, 24, 23]
[:mouse_move, 849, 196, 2, 25, 23]
[:mouse_move, 847, 199, 2, 26, 24]
[:mouse_move, 846, 202, 2, 27, 24]
[:mouse_move, 843, 208, 2, 28, 24]
[:mouse_move, 840, 215, 2, 29, 24]
[:mouse_move, 837, 221, 2, 30, 25]
[:mouse_move, 834, 226, 2, 31, 25]
[:mouse_move, 832, 230, 2, 32, 25]
[:mouse_move, 829, 234, 2, 33, 25]
[:mouse_move, 826, 239, 2, 34, 26]
[:mouse_move, 823, 243, 2, 35, 26]
[:mouse_move, 819, 247, 2, 36, 26]
[:mouse_move, 816, 251, 2, 37, 26]
[:mouse_move, 813, 255, 2, 38, 27]
[:mouse_move, 809, 259, 2, 39, 27]
[:mouse_move, 806, 262, 2, 40, 27]
[:mouse_move, 802, 266, 2, 41, 27]
[:mouse_move, 800, 268, 2, 42, 28]
[:mouse_move, 796, 273, 2, 43, 28]
[:mouse_move, 792, 277, 2, 44, 28]
[:mouse_move, 788, 281, 2, 45, 28]
[:mouse_move, 784, 286, 2, 46, 29]
[:mouse_move, 781, 292, 2, 47, 29]
[:mouse_move, 777, 298, 2, 48, 29]
[:mouse_move, 774, 303, 2, 49, 29]
[:mouse_move, 772, 309, 2, 50, 30]
[:mouse_move, 770, 314, 2, 51, 30]
[:mouse_move, 768, 319, 2, 52, 30]
[:mouse_move, 766, 325, 2, 53, 30]
[:mouse_move, 765, 332, 2, 54, 31]
[:mouse_move, 764, 338, 2, 55, 31]
[:mouse_move, 763, 344, 2, 56, 31]
[:mouse_move, 762, 349, 2, 57, 31]
[:mouse_move, 762, 354, 2, 58, 32]
[:mouse_move, 761, 359, 2, 59, 32]
[:mouse_move, 761, 362, 2, 60, 32]
[:mouse_move, 761, 363, 2, 61, 32]
[:mouse_move, 761, 364, 2, 62, 33]
[:mouse_move, 761, 365, 2, 63, 33]
[:mouse_move, 761, 368, 2, 64, 33]
[:mouse_move, 760, 371, 2, 65, 33]
[:mouse_move, 760, 374, 2, 66, 34]
[:mouse_move, 760, 376, 2, 67, 34]
[:mouse_move, 760, 377, 2, 68, 34]
[:mouse_move, 760, 378, 2, 69, 34]
[:mouse_move, 760, 379, 2, 70, 35]
[:mouse_move, 760, 380, 2, 71, 35]
[:mouse_move, 759, 381, 2, 72, 35]
[:mouse_move, 759, 382, 2, 73, 35]
[:mouse_move, 759, 383, 2, 74, 36]
[:mouse_move, 759, 383, 2, 75, 36]
[:mouse_move, 759, 384, 2, 76, 36]
[:mouse_move, 759, 384, 2, 77, 36]
[:mouse_move, 758, 385, 2, 78, 37]
[:mouse_move, 758, 386, 2, 79, 37]
[:mouse_move, 757, 387, 2, 80, 37]
[:mouse_move, 757, 388, 2, 81, 37]
[:mouse_move, 756, 388, 2, 82, 38]
[:mouse_move, 755, 389, 2, 83, 38]
[:mouse_move, 755, 390, 2, 84, 38]
[:mouse_move, 754, 391, 2, 85, 38]
[:mouse_move, 752, 392, 2, 86, 39]
[:mouse_move, 750, 394, 2, 87, 39]
[:mouse_move, 748, 395, 2, 88, 39]
[:mouse_move, 746, 396, 2, 89, 39]
[:mouse_move, 744, 397, 2, 90, 40]
[:mouse_move, 742, 398, 2, 91, 40]
[:mouse_move, 740, 399, 2, 92, 40]
[:mouse_move, 738, 400, 2, 93, 40]
[:mouse_move, 736, 401, 2, 94, 41]
[:mouse_move, 733, 401, 2, 95, 41]
[:mouse_move, 731, 402, 2, 96, 41]
[:mouse_move, 728, 403, 2, 97, 41]
[:mouse_move, 725, 403, 2, 98, 42]
[:mouse_move, 722, 404, 2, 99, 42]
[:mouse_move, 718, 405, 2, 100, 42]
[:mouse_move, 713, 405, 2, 101, 42]
[:mouse_move, 709, 405, 2, 102, 43]
[:mouse_move, 704, 405, 2, 103, 43]
[:mouse_move, 698, 406, 2, 104, 43]
[:mouse_move, 693, 406, 2, 105, 43]
[:mouse_move, 687, 406, 2, 106, 44]
[:mouse_move, 678, 406, 2, 107, 44]
[:mouse_move, 667, 406, 2, 108, 44]
[:mouse_move, 655, 406, 2, 109, 44]
[:mouse_move, 643, 406, 2, 110, 45]
[:mouse_move, 633, 405, 2, 111, 45]
[:mouse_move, 623, 404, 2, 112, 45]
[:mouse_move, 613, 402, 2, 113, 45]
[:mouse_move, 604, 401, 2, 114, 46]
[:mouse_move, 599, 400, 2, 115, 46]
[:mouse_move, 594, 399, 2, 116, 46]
[:mouse_move, 588, 398, 2, 117, 46]
[:mouse_move, 581, 396, 2, 118, 47]
[:mouse_move, 573, 394, 2, 119, 47]
[:mouse_move, 564, 392, 2, 120, 47]
[:mouse_move, 556, 390, 2, 121, 47]
[:mouse_move, 552, 389, 2, 122, 48]
[:mouse_move, 546, 387, 2, 123, 48]
[:mouse_move, 541, 386, 2, 124, 48]
[:mouse_move, 536, 384, 2, 125, 48]
[:mouse_move, 532, 383, 2, 126, 49]
[:mouse_move, 528, 382, 2, 127, 49]
[:mouse_move, 523, 381, 2, 128, 49]
[:mouse_move, 519, 380, 2, 129, 49]
[:mouse_move, 515, 380, 2, 130, 50]
[:mouse_move, 511, 379, 2, 131, 50]
[:mouse_move, 507, 378, 2, 132, 50]
[:mouse_move, 503, 378, 2, 133, 50]
[:mouse_move, 498, 377, 2, 134, 51]
[:mouse_move, 494, 376, 2, 135, 51]
[:mouse_move, 490, 376, 2, 136, 51]
[:mouse_move, 485, 375, 2, 137, 51]
[:mouse_move, 481, 375, 2, 138, 52]
[:mouse_move, 477, 375, 2, 139, 52]
[:mouse_move, 473, 374, 2, 140, 52]
[:mouse_move, 469, 374, 2, 141, 52]
[:mouse_move, 465, 373, 2, 142, 53]
[:mouse_move, 462, 372, 2, 143, 53]
[:mouse_move, 461, 372, 2, 144, 53]
[:mouse_move, 459, 372, 2, 145, 53]
[:mouse_move, 458, 371, 2, 146, 54]
[:mouse_move, 456, 371, 2, 147, 54]
[:mouse_move, 453, 370, 2, 148, 54]
[:mouse_move, 451, 370, 2, 149, 54]
[:mouse_move, 448, 369, 2, 150, 55]
[:mouse_move, 446, 369, 2, 151, 55]
[:mouse_move, 445, 368, 2, 152, 55]
[:mouse_move, 443, 368, 2, 153, 55]
[:mouse_move, 442, 368, 2, 154, 56]
[:mouse_move, 440, 368, 2, 155, 56]
[:mouse_move, 439, 367, 2, 156, 56]
[:mouse_move, 437, 367, 2, 157, 56]
[:mouse_move, 436, 367, 2, 158, 57]
[:mouse_move, 435, 367, 2, 159, 57]
[:mouse_move, 433, 367, 2, 160, 57]
