replay_version 2.1
stopped_at 1765
seed 100
recorded_at 2025-06-04 22:13:06 -0500
[:mouse_button_up, 1, 0, 1, 1, 9]
[:key_down_player_one, 2, 0, 1, 2, 79]
[:key_down_player_one, 25, 0, 1, 3, 79]
[:key_held_player_one, 2, 0, 1, 4, 80]
[:key_held_player_one, 25, 0, 1, 5, 80]
[:key_held_player_one, 2, 0, 1, 6, 81]
[:key_held_player_one, 25, 0, 1, 7, 81]
[:key_held_player_one, 2, 0, 1, 8, 82]
[:key_held_player_one, 25, 0, 1, 9, 82]
[:key_held_player_one, 2, 0, 1, 10, 83]
[:key_held_player_one, 25, 0, 1, 11, 83]
[:key_held_player_one, 2, 0, 1, 12, 84]
[:key_held_player_one, 25, 0, 1, 13, 84]
[:key_held_player_one, 2, 0, 1, 14, 85]
[:key_held_player_one, 25, 0, 1, 15, 85]
[:key_held_player_one, 2, 0, 1, 16, 86]
[:key_held_player_one, 25, 0, 1, 17, 86]
[:key_held_player_one, 2, 0, 1, 18, 87]
[:key_held_player_one, 25, 0, 1, 19, 87]
[:key_held_player_one, 2, 0, 1, 20, 88]
[:key_held_player_one, 25, 0, 1, 21, 88]
[:key_held_player_one, 2, 0, 1, 22, 89]
[:key_held_player_one, 25, 0, 1, 23, 89]
[:key_held_player_one, 2, 0, 1, 24, 90]
[:key_held_player_one, 25, 0, 1, 25, 90]
[:key_held_player_one, 2, 0, 1, 26, 91]
[:key_held_player_one, 25, 0, 1, 27, 91]
[:key_held_player_one, 2, 0, 1, 28, 92]
[:key_held_player_one, 25, 0, 1, 29, 92]
[:key_held_player_one, 2, 0, 1, 30, 93]
[:key_held_player_one, 25, 0, 1, 31, 93]
[:key_held_player_one, 2, 0, 1, 32, 94]
[:key_held_player_one, 25, 0, 1, 33, 94]
[:key_up_player_one, 2, 0, 1, 34, 95]
[:key_up_player_one, 25, 0, 1, 35, 95]
[:key_down_player_one, 1, 0, 1, 36, 109]
[:key_down_player_one, 24, 0, 1, 37, 109]
[:key_held_player_one, 1, 0, 1, 38, 110]
[:key_held_player_one, 24, 0, 1, 39, 110]
[:key_held_player_one, 1, 0, 1, 40, 111]
[:key_held_player_one, 24, 0, 1, 41, 111]
[:key_held_player_one, 1, 0, 1, 42, 112]
[:key_held_player_one, 24, 0, 1, 43, 112]
[:key_held_player_one, 1, 0, 1, 44, 113]
[:key_held_player_one, 24, 0, 1, 45, 113]
[:key_held_player_one, 1, 0, 1, 46, 114]
[:key_held_player_one, 24, 0, 1, 47, 114]
[:key_held_player_one, 1, 0, 1, 48, 115]
[:key_held_player_one, 24, 0, 1, 49, 115]
[:key_held_player_one, 1, 0, 1, 50, 116]
[:key_held_player_one, 24, 0, 1, 51, 116]
[:key_held_player_one, 1, 0, 1, 52, 117]
[:key_held_player_one, 24, 0, 1, 53, 117]
[:key_held_player_one, 1, 0, 1, 54, 118]
[:key_held_player_one, 24, 0, 1, 55, 118]
[:key_held_player_one, 1, 0, 1, 56, 119]
[:key_held_player_one, 24, 0, 1, 57, 119]
[:key_held_player_one, 1, 0, 1, 58, 120]
[:key_held_player_one, 24, 0, 1, 59, 120]
[:key_held_player_one, 1, 0, 1, 60, 121]
[:key_held_player_one, 24, 0, 1, 61, 121]
[:key_held_player_one, 1, 0, 1, 62, 122]
[:key_held_player_one, 24, 0, 1, 63, 122]
[:key_held_player_one, 1, 0, 1, 64, 123]
[:key_held_player_one, 24, 0, 1, 65, 123]
[:key_held_player_one, 1, 0, 1, 66, 124]
[:key_held_player_one, 24, 0, 1, 67, 124]
[:key_held_player_one, 1, 0, 1, 68, 125]
[:key_held_player_one, 24, 0, 1, 69, 125]
[:key_held_player_one, 1, 0, 1, 70, 126]
[:key_held_player_one, 24, 0, 1, 71, 126]
[:key_held_player_one, 1, 0, 1, 72, 127]
[:key_held_player_one, 24, 0, 1, 73, 127]
[:key_held_player_one, 1, 0, 1, 74, 128]
[:key_held_player_one, 24, 0, 1, 75, 128]
[:key_held_player_one, 1, 0, 1, 76, 129]
[:key_held_player_one, 24, 0, 1, 77, 129]
[:key_held_player_one, 1, 0, 1, 78, 130]
[:key_held_player_one, 24, 0, 1, 79, 130]
[:key_held_player_one, 1, 0, 1, 80, 131]
[:key_held_player_one, 24, 0, 1, 81, 131]
[:key_held_player_one, 1, 0, 1, 82, 132]
[:key_held_player_one, 24, 0, 1, 83, 132]
[:key_held_player_one, 1, 0, 1, 84, 133]
[:key_held_player_one, 24, 0, 1, 85, 133]
[:key_held_player_one, 1, 0, 1, 86, 134]
[:key_held_player_one, 24, 0, 1, 87, 134]
[:key_held_player_one, 1, 0, 1, 88, 135]
[:key_held_player_one, 24, 0, 1, 89, 135]
[:key_held_player_one, 1, 0, 1, 90, 136]
[:key_held_player_one, 24, 0, 1, 91, 136]
[:key_held_player_one, 1, 0, 1, 92, 137]
[:key_held_player_one, 24, 0, 1, 93, 137]
[:key_held_player_one, 1, 0, 1, 94, 138]
[:key_held_player_one, 24, 0, 1, 95, 138]
[:key_held_player_one, 1, 0, 1, 96, 139]
[:key_held_player_one, 24, 0, 1, 97, 139]
[:key_held_player_one, 1, 0, 1, 98, 140]
[:key_held_player_one, 24, 0, 1, 99, 140]
[:key_up_player_one, 1, 0, 1, 100, 141]
[:key_up_player_one, 24, 0, 1, 101, 141]
[:key_down_player_one, 4, 0, 1, 102, 142]
[:key_down_player_one, 27, 0, 1, 103, 142]
[:key_held_player_one, 4, 0, 1, 104, 143]
[:key_held_player_one, 27, 0, 1, 105, 143]
[:key_held_player_one, 4, 0, 1, 106, 144]
[:key_held_player_one, 27, 0, 1, 107, 144]
[:key_held_player_one, 4, 0, 1, 108, 145]
[:key_held_player_one, 27, 0, 1, 109, 145]
[:key_held_player_one, 4, 0, 1, 110, 146]
[:key_held_player_one, 27, 0, 1, 111, 146]
[:key_held_player_one, 4, 0, 1, 112, 147]
[:key_held_player_one, 27, 0, 1, 113, 147]
[:key_held_player_one, 4, 0, 1, 114, 148]
[:key_held_player_one, 27, 0, 1, 115, 148]
[:key_held_player_one, 4, 0, 1, 116, 149]
[:key_held_player_one, 27, 0, 1, 117, 149]
[:key_held_player_one, 4, 0, 1, 118, 150]
[:key_held_player_one, 27, 0, 1, 119, 150]
