replay_version 2.1
stopped_at 574
seed 100
recorded_at 2024-12-21 17:00:53 -0600
[:mouse_button_up, 1, 0, 1, 1, 3]
[:mouse_move, 905, 143, 2, 2, 8]
[:key_down_raw, 1073741903, 0, 2, 3, 50]
[:scancode_down_raw, 79, 0, 2, 4, 50]
[:key_up_raw, 1073741903, 0, 2, 5, 62]
[:scancode_up_raw, 79, 0, 2, 6, 62]
[:key_down_raw, 1073741905, 0, 2, 7, 79]
[:scancode_down_raw, 81, 0, 2, 8, 79]
[:key_down_raw, 1073741905, 0, 2, 9, 95]
[:scancode_down_raw, 81, 0, 2, 10, 95]
[:key_up_raw, 1073741905, 0, 2, 11, 95]
[:scancode_up_raw, 81, 0, 2, 12, 95]
[:key_down_raw, 32, 0, 2, 13, 108]
[:scancode_down_raw, 44, 0, 2, 14, 108]
[:textinput, " ", 0, 1, 15, 108]
[:key_up_raw, 32, 0, 2, 16, 117]
[:scancode_up_raw, 44, 0, 2, 17, 117]
[:key_down_raw, 1073741903, 0, 2, 18, 161]
[:scancode_down_raw, 79, 0, 2, 19, 161]
[:key_up_raw, 1073741903, 0, 2, 20, 173]
[:scancode_up_raw, 79, 0, 2, 21, 173]
[:key_down_raw, 1073741903, 0, 2, 22, 198]
[:scancode_down_raw, 79, 0, 2, 23, 198]
[:key_up_raw, 1073741903, 0, 2, 24, 210]
[:scancode_up_raw, 79, 0, 2, 25, 210]
[:key_down_raw, 1073741905, 0, 2, 26, 224]
[:scancode_down_raw, 81, 0, 2, 27, 224]
[:key_up_raw, 1073741905, 0, 2, 28, 235]
[:scancode_up_raw, 81, 0, 2, 29, 235]
[:key_down_raw, 1073741906, 0, 2, 30, 244]
[:scancode_down_raw, 82, 0, 2, 31, 244]
[:key_down_raw, 1073741906, 0, 2, 32, 259]
[:scancode_down_raw, 82, 0, 2, 33, 259]
[:key_down_raw, 1073741906, 0, 2, 34, 261]
[:scancode_down_raw, 82, 0, 2, 35, 261]
[:key_down_raw, 1073741906, 0, 2, 36, 263]
[:scancode_down_raw, 82, 0, 2, 37, 263]
[:key_down_raw, 1073741906, 0, 2, 38, 265]
[:scancode_down_raw, 82, 0, 2, 39, 265]
[:key_down_raw, 1073741906, 0, 2, 40, 267]
[:scancode_down_raw, 82, 0, 2, 41, 267]
[:key_down_raw, 1073741906, 0, 2, 42, 269]
[:scancode_down_raw, 82, 0, 2, 43, 269]
[:key_down_raw, 1073741906, 0, 2, 44, 271]
[:scancode_down_raw, 82, 0, 2, 45, 271]
[:key_down_raw, 1073741906, 0, 2, 46, 273]
[:scancode_down_raw, 82, 0, 2, 47, 273]
[:key_down_raw, 1073741906, 0, 2, 48, 275]
[:scancode_down_raw, 82, 0, 2, 49, 275]
[:key_up_raw, 1073741906, 0, 2, 50, 275]
[:scancode_up_raw, 82, 0, 2, 51, 275]
[:key_down_raw, 1073741904, 0, 2, 52, 278]
[:scancode_down_raw, 80, 0, 2, 53, 278]
[:key_down_raw, 1073741904, 0, 2, 54, 294]
[:scancode_down_raw, 80, 0, 2, 55, 294]
[:key_down_raw, 1073741904, 0, 2, 56, 295]
[:scancode_down_raw, 80, 0, 2, 57, 295]
[:key_down_raw, 1073741904, 0, 2, 58, 298]
[:scancode_down_raw, 80, 0, 2, 59, 298]
[:key_down_raw, 1073741904, 0, 2, 60, 299]
[:scancode_down_raw, 80, 0, 2, 61, 299]
[:key_down_raw, 1073741904, 0, 2, 62, 301]
[:scancode_down_raw, 80, 0, 2, 63, 301]
[:key_down_raw, 1073741904, 0, 2, 64, 303]
[:scancode_down_raw, 80, 0, 2, 65, 303]
[:key_down_raw, 1073741904, 0, 2, 66, 306]
[:scancode_down_raw, 80, 0, 2, 67, 306]
[:key_up_raw, 1073741904, 0, 2, 68, 306]
[:scancode_up_raw, 80, 0, 2, 69, 306]
[:key_down_raw, 1073741906, 0, 2, 70, 309]
[:scancode_down_raw, 82, 0, 2, 71, 309]
[:key_down_raw, 1073741906, 0, 2, 72, 324]
[:scancode_down_raw, 82, 0, 2, 73, 324]
[:key_down_raw, 1073741906, 0, 2, 74, 326]
[:scancode_down_raw, 82, 0, 2, 75, 326]
[:key_down_raw, 1073741906, 0, 2, 76, 328]
