replay_version 2.0
stopped_at 1267
seed 100
recorded_at 2022-04-24 21:53:01 -0500
[:mouse_button_up, 1, 0, 1, 1, 8]
[:mouse_move, 815, 88, 2, 2, 21]
[:mouse_move, 815, 93, 2, 3, 22]
[:mouse_move, 815, 105, 2, 4, 23]
[:mouse_move, 815, 120, 2, 5, 23]
[:mouse_move, 815, 143, 2, 6, 24]
[:mouse_move, 815, 169, 2, 7, 25]
[:mouse_move, 815, 201, 2, 8, 25]
[:mouse_move, 820, 240, 2, 9, 26]
[:key_down_player_one, 4, 0, 1, 10, 58]
[:key_down_player_one, 27, 0, 1, 11, 58]
[:key_held_player_one, 4, 0, 1, 12, 59]
[:key_held_player_one, 27, 0, 1, 13, 59]
[:key_held_player_one, 4, 0, 1, 14, 60]
[:key_held_player_one, 27, 0, 1, 15, 60]
[:key_held_player_one, 4, 0, 1, 16, 61]
[:key_held_player_one, 27, 0, 1, 17, 61]
[:key_held_player_one, 4, 0, 1, 18, 62]
[:key_held_player_one, 27, 0, 1, 19, 62]
[:key_held_player_one, 4, 0, 1, 20, 63]
[:key_held_player_one, 27, 0, 1, 21, 63]
[:key_held_player_one, 4, 0, 1, 22, 64]
[:key_held_player_one, 27, 0, 1, 23, 64]
[:key_held_player_one, 4, 0, 1, 24, 65]
[:key_held_player_one, 27, 0, 1, 25, 65]
[:key_held_player_one, 4, 0, 1, 26, 66]
[:key_held_player_one, 27, 0, 1, 27, 66]
[:key_held_player_one, 4, 0, 1, 28, 67]
[:key_held_player_one, 27, 0, 1, 29, 67]
[:key_held_player_one, 4, 0, 1, 30, 68]
[:key_held_player_one, 27, 0, 1, 31, 68]
[:key_held_player_one, 4, 0, 1, 32, 69]
[:key_held_player_one, 27, 0, 1, 33, 69]
[:key_held_player_one, 4, 0, 1, 34, 70]
[:key_held_player_one, 27, 0, 1, 35, 70]
[:key_held_player_one, 4, 0, 1, 36, 71]
[:key_held_player_one, 27, 0, 1, 37, 71]
[:key_held_player_one, 4, 0, 1, 38, 72]
[:key_held_player_one, 27, 0, 1, 39, 72]
[:key_held_player_one, 4, 0, 1, 40, 73]
[:key_held_player_one, 27, 0, 1, 41, 73]
[:key_held_player_one, 4, 0, 1, 42, 74]
[:key_held_player_one, 27, 0, 1, 43, 74]
[:key_held_player_one, 4, 0, 1, 44, 75]
[:key_held_player_one, 27, 0, 1, 45, 75]
[:key_held_player_one, 4, 0, 1, 46, 76]
[:key_held_player_one, 27, 0, 1, 47, 76]
[:key_held_player_one, 4, 0, 1, 48, 77]
[:key_held_player_one, 27, 0, 1, 49, 77]
[:key_held_player_one, 4, 0, 1, 50, 78]
[:key_held_player_one, 27, 0, 1, 51, 78]
[:key_held_player_one, 4, 0, 1, 52, 79]
[:key_held_player_one, 27, 0, 1, 53, 79]
[:key_held_player_one, 4, 0, 1, 54, 80]
[:key_held_player_one, 27, 0, 1, 55, 80]
[:key_held_player_one, 4, 0, 1, 56, 81]
[:key_held_player_one, 27, 0, 1, 57, 81]
[:key_held_player_one, 4, 0, 1, 58, 82]
[:key_held_player_one, 27, 0, 1, 59, 82]
[:key_down_player_one, 1, 0, 1, 60, 83]
[:key_held_player_one, 4, 0, 1, 61, 83]
[:key_down_player_one, 24, 0, 1, 62, 83]
[:key_held_player_one, 27, 0, 1, 63, 83]
[:key_held_player_one, 1, 0, 1, 64, 84]
[:key_held_player_one, 4, 0, 1, 65, 84]
[:key_held_player_one, 24, 0, 1, 66, 84]
[:key_held_player_one, 27, 0, 1, 67, 84]
[:key_held_player_one, 1, 0, 1, 68, 85]
[:key_held_player_one, 4, 0, 1, 69, 85]
[:key_held_player_one, 24, 0, 1, 70, 85]
[:key_held_player_one, 27, 0, 1, 71, 85]
[:key_held_player_one, 1, 0, 1, 72, 86]
[:key_held_player_one, 4, 0, 1, 73, 86]
[:key_held_player_one, 24, 0, 1, 74, 86]
[:key_held_player_one, 27, 0, 1, 75, 86]
[:key_held_player_one, 1, 0, 1, 76, 87]
[:key_held_player_one, 4, 0, 1, 77, 87]
[:key_held_player_one, 24, 0, 1, 78, 87]
[:key_held_player_one, 27, 0, 1, 79, 87]
[:key_held_player_one, 1, 0, 1, 80, 88]
[:key_held_player_one, 4, 0, 1, 81, 88]
[:key_held_player_one, 24, 0, 1, 82, 88]
[:key_held_player_one, 27, 0, 1, 83, 88]
[:key_held_player_one, 1, 0, 1, 84, 89]
[:key_held_player_one, 4, 0, 1, 85, 89]
[:key_held_player_one, 24, 0, 1, 86, 89]
[:key_held_player_one, 27, 0, 1, 87, 89]
[:key_held_player_one, 1, 0, 1, 88, 90]
[:key_held_player_one, 4, 0, 1, 89, 90]
[:key_held_player_one, 24, 0, 1, 90, 90]
[:key_held_player_one, 27, 0, 1, 91, 90]
[:key_held_player_one, 1, 0, 1, 92, 91]
[:key_held_player_one, 4, 0, 1, 93, 91]
[:key_held_player_one, 24, 0, 1, 94, 91]
[:key_held_player_one, 27, 0, 1, 95, 91]
[:key_held_player_one, 1, 0, 1, 96, 92]
[:key_held_player_one, 4, 0, 1, 97, 92]
[:key_held_player_one, 24, 0, 1, 98, 92]
[:key_held_player_one, 27, 0, 1, 99, 92]
[:key_held_player_one, 1, 0, 1, 100, 93]
[:key_held_player_one, 4, 0, 1, 101, 93]
[:key_held_player_one, 24, 0, 1, 102, 93]
[:key_held_player_one, 27, 0, 1, 103, 93]
[:key_held_player_one, 1, 0, 1, 104, 94]
[:key_held_player_one, 4, 0, 1, 105, 94]
[:key_held_player_one, 24, 0, 1, 106, 94]
[:key_held_player_one, 27, 0, 1, 107, 94]
[:key_held_player_one, 1, 0, 1, 108, 95]
[:key_held_player_one, 4, 0, 1, 109, 95]
[:key_held_player_one, 24, 0, 1, 110, 95]
[:key_held_player_one, 27, 0, 1, 111, 95]
[:key_held_player_one, 1, 0, 1, 112, 96]
[:key_held_player_one, 4, 0, 1, 113, 96]
